help	Справка по командам и параметрам
acl	Разбор условий доступа к памяти
gdf	Выбор или получение корневого файла приложения
auto	Автоматическое обнаружение неизвестной метки
search	Поиск и распознавание меток
info	Информация о метке или выбранном объекте
reader	Чтение идентификатора метки считывателем
read	Чтение данных
rdbl	Чтение блока или страницы памяти
rdmulti	Чтение нескольких блоков памяти
rdsc	Чтение сектора памяти
dump	Чтение и сохранение дампа памяти
restore	Восстановление памяти из файла дампа
write	Запись данных
wrbl	Запись блока или страницы памяти
sniff	Захват обмена между меткой и считывателем
sim	Эмуляция метки
simask	Эмуляция LF-сигнала с модуляцией ASK
simfsk	Эмуляция LF-сигнала с модуляцией FSK
simpsk	Эмуляция LF-сигнала с модуляцией PSK
simbidir	Двунаправленная эмуляция LF-метки
list	Просмотр списка данных или объектов
load	Загрузка данных из файла
save	Сохранение данных в файл
plot	Отображение графика сигнала
tune	Измерение настройки антенны
config	Просмотр и изменение конфигурации
status	Просмотр состояния
version	Информация о версиях клиента и прошивки
raw	Отправка необработанной команды протокола
auth	Аутентификация с меткой
auth1	Аутентификация первым способом
auth2	Аутентификация вторым способом
auth4	Аутентификация четвёртым способом
aesauth	Аутентификация AES
aeschk	Проверка AES-ключей
authsign	Аутентификация и проверка подписи
cauth	Аутентификация Ultralight C
check	Проверка данных или ключей
chk	Проверка ключей
fchk	Быстрая проверка ключей
cchk	Проверка ключей Ultralight C
keygen	Генерация ключей
pwdgen	Расчёт паролей поддерживаемыми алгоритмами
pwd	Операции с паролем
recover	Восстановление ключей или данных
recoverpw	Восстановление пароля
autorecover	Автоматизированное восстановление ключей
brute	Перебор параметров или ключей
bruteforce	Перебор ключей или параметров
autopwn	Автоматизированная последовательность исследования защиты метки
darkside	Восстановление ключа Classic методом Darkside
nested	Восстановление ключей Classic методом Nested
staticnested	Восстановление ключей Classic со статическим генератором случайных чисел
hardnested	Восстановление ключей Classic методом Hardnested
clone	Запись данных в совместимую программируемую метку
clonehelp	Справка о совместимых программируемых метках
wipe	Очистка памяти
format	Форматирование данных или памяти
formatall	Полное форматирование
formatpicc	Форматирование карты PICC
clear	Очистка экрана или буфера
eclr	Очистка памяти эмулятора
eload	Загрузка дампа в память эмулятора
esave	Сохранение памяти эмулятора в файл
eview	Просмотр памяти эмулятора
einfo	Информация о памяти эмулятора
egetblk	Чтение блока памяти эмулятора
egetsc	Чтение сектора памяти эмулятора
esetblk	Изменение блока памяти эмулятора
ecfill	Заполнение памяти эмулятора данными метки
ekeyprn	Вывод ключей из памяти эмулятора
ndefread	Чтение записей NDEF
ndefwrite	Запись NDEF
ndefformat	Подготовка памяти для NDEF
view	Просмотр сохранённых данных
diff	Сравнение данных
extract	Извлечение данных из трассы
decode	Декодирование данных
encode	Кодирование данных
demod	Демодуляция сигнала метки
rawdemod	Демодуляция необработанного сигнала
altdemod	Альтернативная демодуляция сигнала
demodbuff	Просмотр буфера демодуляции
samples	Получение отсчётов сигнала
hexsamples	Просмотр отсчётов в HEX
bitsamples	Получение битовых отсчётов
detect	Обнаружение типа или настроек метки
detectclock	Определение тактового периода сигнала
detectreader	Исследование поведения считывателя
cmdread	Передача LF-команды с последующим чтением
readmem	Чтение памяти устройства
readrec	Чтение записей файла
read er	Чтение метки
apdu	Отправка команды APDU
apdufind	Поиск поддерживаемых команд APDU
atr	Получение ответа ATR
select	Выбор метки или приложения
selectapp	Выбор приложения на карте
selectisofid	Выбор файла по ISO-идентификатору
getuid	Получение UID карты
setuid	Установка UID на совместимой метке
setkey	Установка ключа
changekey	Изменение ключа
chkey	Изменение ключа
getkeysettings	Чтение настроек ключей
chkeysettings	Изменение настроек ключей
getkeyversions	Чтение версий ключей
getfilesettings	Чтение настроек файла
chfilesettings	Изменение настроек файла
getfileids	Список идентификаторов файлов
getfileisoids	Список ISO-идентификаторов файлов
getaids	Список идентификаторов приложений
getappnames	Получение названий приложений
createapp	Создание приложения на карте
deleteapp	Удаление приложения с карты
createfile	Создание файла
deletefile	Удаление файла
